,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,mu3_true,mu3_estimate
187,2.989153371142024,3.0648991465413467,0.4330960671802307,0.643126945448115,0.8001133372971999,0.8064772342554076,2.005819245311358,2.051404654246075,-2.0081969031481344,-1.948928475163215,-2.670272247463176,-2.6048193371197508
188,2.53011012871028,2.771855106490729,1.084386802011382,1.2604116313881375,0.7303202521614904,0.7058857525008885,2.9771760747734977,2.892684643376969,1.4682115477460362,1.549050856460397,0.6969648864702593,0.652935389631248
189,2.557317802981653,2.682361780847833,1.0224017116465858,1.3011348739519315,0.4897903770579684,0.4879909925339942,-2.7820986914286894,-2.81558831416948,2.1625940382740367,2.2094857231888767,1.281394392111366,1.391502474399052
190,3.952082167612968,3.868964252408821,0.610742545402801,0.6068887328990764,0.3152533061086152,0.3466032418325323,-0.5742650659204862,-0.538319021350891,2.454182751136371,2.598461447502321,1.982973670048384,2.0332309831346547
191,2.469777889853332,2.597739285804214,1.199970231655785,1.4274264305303663,0.3383799074947161,0.3349205511206674,0.8116114759792628,0.8485796131647404,-1.3684279718910766,-1.335718219815786,-2.876475871915958,-2.957686046286834
192,2.1816433604485965,2.176845924709084,1.5007095680057336,1.4920891995046432,0.9655306626458212,0.9775356301663616,-0.7705999563295471,-0.7789827663787434,-0.2545593311585474,-0.26681226989639,-0.3464582475248505,-0.3483910431547994
193,3.251827891787456,4.223439342806831,0.3040529137351989,0.811994666664678,0.627806101132526,0.4691484457686261,2.3012341314653986,2.1791577282509422,-0.1010693854848339,-0.06026075322566,-1.4238906931388793,-1.3912641130466827
194,2.4030292247216734,2.226899629120658,1.8149037956077592,1.550656532554817,0.1539008392845949,0.1759004302507399,0.5274918195238667,0.4850475604713103,0.5607520136614068,0.4755595131308328,-1.5709986782249907,-1.6340749540447752
195,3.978607021443248,4.025414687981062,1.4633653463198295,1.48444952724516,0.9829933778913784,0.9783356346239838,-1.7088510485404798,-1.782218990077321,-1.7523043694560398,-1.7650491548127527,-0.5256478557347897,-0.5540122519335771
196,4.097417671339517,4.785562931273818,1.1934999797509738,1.4614746586471974,0.7200343085228387,0.5965041689870635,0.5355637847277739,0.5473185837832912,2.2280816574868507,2.159759743169734,0.4544029759300749,0.3825400887962863
197,3.765591785312521,4.169120239161316,0.8711201600641005,1.355180944609106,0.7586531502697323,0.7391228706226961,-2.6235844777657835,-2.576836476788118,1.5973448479603034,1.569441435703012,2.785257797313045,2.6966409718763327
198,3.420536769573131,3.817630379954172,0.5837625414490903,0.6407750140401772,0.6993455841328812,0.61874435657879,2.475498614214702,2.5020375421032788,-1.810551879304669,-1.7666520560578785,-0.7012126302530168,-0.7173513544170999
199,4.074528349411415,4.817062940072784,0.2183440144954013,0.5046921471355317,0.5868724334846646,0.430615140742667,-1.4941476593678815,-1.4010108445853564,1.6963544516320117,1.655497705044114,1.2579734526487434,1.238115887582399
