,sbj,isSpeed,jitter,threshold,mux,muy,ndt,G2
46,170,1,30,1.086405958191749,4.14477684901646,-0.0966809462192935,0.2643252126703183,-319.3077686023305
47,170,1,45,0.8729725090051197,3.325712513718036,0.4364332254877204,0.29408763180514896,-277.08167626583423
48,180,0,15,3.827749568245881,5.267986359389877,-0.1014479985573085,0.1,-370.3851621097944
49,180,0,30,3.1209145312342224,3.522320898572452,-0.3543559694252054,0.1,-254.8679514983481
50,180,0,45,1.6234121515327429,2.0837261303572427,-0.0768325776390609,0.3590071576295823,-117.24807745189187
51,180,1,15,2.471425629088751,5.658730303168809,-0.3849206553036222,0.13141975895710872,-386.0070710753435
52,180,1,30,1.249056766463808,3.199555169506892,-0.6047978368099265,0.2428999831772904,-251.67882093831136
53,180,1,45,1.2829541199296317,2.2311540341099265,-0.0459464559936627,0.1886354030835326,-151.50981316099853
54,190,0,15,4.788372682872559,5.985943145406315,-0.20279117631364074,0.1,-400.97897439217803
55,190,0,30,3.322054587570459,3.216182176979957,-0.03114207000256,0.1,-221.99008626316936
56,190,0,45,2.070823003169632,1.880806529266355,-0.20988127085037753,0.26222999217760606,-61.76031717064505
57,190,1,15,2.2030051181424177,8.0,-0.41571229148745253,0.2631894913808211,-578.6023114195307
58,190,1,30,1.410665028712297,4.9960428922158355,-0.1792472530149945,0.2828445128096678,-362.63310647348294
59,190,1,45,0.8790450833356938,3.7882248547531088,-0.2168016625102116,0.3580999202071719,-300.3088314109185
60,200,0,15,2.7239254544394913,7.171003090418539,0.0374012250007324,0.17054861300388802,-447.9838865311552
61,200,0,30,1.3529157207116067,3.998495695461717,-0.1213806163773675,0.2665399832252764,-294.41480688190705
62,200,0,45,1.4858219414493223,2.4399674304520858,-0.00568863917578371,0.1333679877724062,-153.64842125471537
63,200,1,15,1.6585211218123495,4.1264366505350285,0.371699078498796,0.12136063584824103,-309.11034370718454
64,200,1,30,1.2306007911289927,3.7078286288523197,0.2736824155874678,0.2157545626339461,-287.73854664471486
65,200,1,45,1.0243553425839462,2.405969833148267,-0.1891751653185014,0.2310199997312391,-178.0388132168637
66,210,0,15,2.5490512031055137,5.774796126705114,-0.3385690296573284,0.2504713186408224,-399.1812568740527
67,210,0,30,1.4772246056381404,3.497914684550759,0.0147162328010347,0.3563360003198542,-263.60724817178004
68,210,0,45,1.179447703816583,2.517375297532451,-0.1084718654491383,0.4127899989989698,-173.8703838023012
69,210,1,15,2.3003620254775043,7.058793488566339,-0.1460391749186124,0.2852588096976166,-444.0464590465518
70,210,1,30,1.2996030318893683,4.251206136220214,-0.29688681856264665,0.34773828646765576,-324.4716559058876
71,210,1,45,0.9347033891819224,3.097717635005162,-0.3744944040040344,0.4194182751940567,-244.7127396607432
